date_of_record,month,season,station_name,state,district,avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,latitude,longitude,rainfall
02/01/2021,January,Winter,Gulmarg,JK,Baramulla,-2.2,-6.6,-0.8,2.2,1020.0,2652,34.05,74.4,0.1
07/01/2021,January,Winter,Gulmarg,JK,Baramulla,-7.5,-10.8,-1.6,5.0,1015.1,2652,34.05,74.4,0.0
12/01/2021,January,Winter,Gulmarg,JK,Baramulla,-1.8,-9.2,0.5,2.8,1018.6,2652,34.05,74.4,0.0
17/01/2021,January,Winter,Gulmarg,JK,Baramulla,1.7,-3.0,4.0,3.0,1015.0,2652,34.05,74.4,0.0
22/01/2021,January,Winter,Gulmarg,JK,Baramulla,-4.0,-7.3,-0.2,7.1,1011.6,2652,34.05,74.4,0.5
27/01/2021,January,Winter,Gulmarg,JK,Baramulla,-5.2,-7.0,-1.0,2.3,1016.8,2652,34.05,74.4,0.0
01/02/2021,February,Winter,Gulmarg,JK,Baramulla,-4.2,-7.6,-0.2,2.6,1025.8,2652,34.05,74.4,2.5
06/02/2021,February,Winter,Gulmarg,JK,Baramulla,-1.8,-9.0,1.2,2.9,1019.2,2652,34.05,74.4,0.0
11/02/2021,February,Winter,Gulmarg,JK,Baramulla,0.7,-1.2,3.1,3.4,1019.6,2652,34.05,74.4,0.0
16/02/2021,February,Winter,Gulmarg,JK,Baramulla,-0.9,-2.6,4.6,1.9,1017.6,2652,34.05,74.4,0.0
21/02/2021,February,Winter,Gulmarg,JK,Baramulla,2.6,0.7,5.3,2.8,1023.9,2652,34.05,74.4,0.0
26/02/2021,February,Winter,Gulmarg,JK,Baramulla,1.0,-0.2,2.4,5.1,1010.0,2652,34.05,74.4,35.6
03/03/2021,March,Winter,Gulmarg,JK,Baramulla,-0.1,-4.3,5.4,3.4,1017.0,2652,34.05,74.4,0.0
08/03/2021,March,Winter,Gulmarg,JK,Baramulla,0.0,-1.8,1.7,3.0,1020.6,2652,34.05,74.4,6.6
13/03/2021,March,Winter,Gulmarg,JK,Baramulla,1.8,-1.0,4.1,1.7,1028.4,2652,34.05,74.4,0.0
18/03/2021,March,Winter,Gulmarg,JK,Baramulla,1.7,-0.3,4.2,2.8,1022.2,2652,34.05,74.4,0.0
23/03/2021,March,Winter,Gulmarg,JK,Baramulla,0.4,-1.8,1.7,3.3,1018.5,2652,34.05,74.4,37.6
28/03/2021,March,Winter,Gulmarg,JK,Baramulla,5.4,3.6,7.1,4.0,1017.5,2652,34.05,74.4,8.2
02/04/2021,April,Summer,Gulmarg,JK,Baramulla,1.5,-1.1,6.2,3.4,1005.9,2652,34.05,74.4,0.0
07/04/2021,April,Summer,Gulmarg,JK,Baramulla,1.6,-1.2,4.2,2.9,1018.9,2652,34.05,74.4,9.1
12/04/2021,April,Summer,Gulmarg,JK,Baramulla,4.0,1.8,6.6,2.8,1028.9,2652,34.05,74.4,3.1
17/04/2021,April,Summer,Gulmarg,JK,Baramulla,2.6,1.2,3.9,3.5,1016.8,2652,34.05,74.4,24.7
22/04/2021,April,Summer,Gulmarg,JK,Baramulla,1.5,-0.3,2.9,2.8,1014.7,2652,34.05,74.4,12.6
27/04/2021,April,Summer,Gulmarg,JK,Baramulla,9.0,6.9,15.4,3.2,1023.2,2652,34.05,74.4,0.0
02/05/2021,May,Summer,Gulmarg,JK,Baramulla,9.4,7.0,14.0,3.2,1023.6,2652,34.05,74.4,0.9
07/05/2021,May,Summer,Gulmarg,JK,Baramulla,6.8,2.5,10.6,2.7,1021.9,2652,34.05,74.4,3.4
12/05/2021,May,Summer,Gulmarg,JK,Baramulla,7.2,4.1,9.4,2.6,1012.0,2652,34.05,74.4,3.5
17/05/2021,May,Summer,Gulmarg,JK,Baramulla,8.5,5.5,12.4,3.0,1024.3,2652,34.05,74.4,1.8
22/05/2021,May,Summer,Gulmarg,JK,Baramulla,7.8,5.2,11.8,2.6,1018.3,2652,34.05,74.4,3.9
27/05/2021,May,Summer,Gulmarg,JK,Baramulla,13.3,9.7,17.4,3.2,1016.8,2652,34.05,74.4,1.6
01/06/2021,June,Summer,Gulmarg,JK,Baramulla,10.3,6.7,13.6,3.7,1014.0,2652,34.05,74.4,10.1
06/06/2021,June,Summer,Gulmarg,JK,Baramulla,15.6,12.1,19.5,4.3,1017.8,2652,34.05,74.4,0.0
11/06/2021,June,Summer,Gulmarg,JK,Baramulla,17.0,11.9,21.5,4.0,1010.2,2652,34.05,74.4,0.3
16/06/2021,June,Summer,Gulmarg,JK,Baramulla,11.1,7.6,15.0,2.6,1005.2,2652,34.05,74.4,3.0
21/06/2021,June,Summer,Gulmarg,JK,Baramulla,11.7,7.4,16.4,2.7,1016.8,2652,34.05,74.4,2.7
26/06/2021,June,Summer,Gulmarg,JK,Baramulla,12.2,7.8,16.4,2.8,1015.6,2652,34.05,74.4,5.1
01/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,15.5,11.4,19.8,3.3,1008.9,2652,34.05,74.4,2.9
06/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,14.9,10.9,19.0,2.2,1017.8,2652,34.05,74.4,6.4
11/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,17.6,14.4,20.6,2.9,1013.7,2652,34.05,74.4,6.5
16/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,17.3,13.6,21.2,3.5,1017.2,2652,34.05,74.4,1.2
21/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,14.2,11.1,17.6,1.5,1005.4,2652,34.05,74.4,2.3
26/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,19.7,16.5,22.8,3.3,1009.5,2652,34.05,74.4,1.2
31/07/2021,July,Monsoon,Gulmarg,JK,Baramulla,16.0,13.7,19.3,2.6,1012.8,2652,34.05,74.4,21.2
05/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,15.5,12.2,18.6,2.3,1011.9,2652,34.05,74.4,2.2
10/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,15.5,11.7,19.0,3.8,1014.5,2652,34.05,74.4,7.1
15/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,11.9,10.0,13.9,2.1,1012.3,2652,34.05,74.4,5.5
20/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,15.2,10.7,20.0,2.7,1018.3,2652,34.05,74.4,1.9
25/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,15.8,11.2,20.0,2.9,1011.1,2652,34.05,74.4,1.3
30/08/2021,August,Monsoon,Gulmarg,JK,Baramulla,12.8,8.0,16.4,2.7,1020.8,2652,34.05,74.4,1.4
04/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,14.9,10.1,19.0,3.5,1015.3,2652,34.05,74.4,3.1
09/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,14.4,12.8,17.0,2.9,1019.0,2652,34.05,74.4,14.3
14/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,13.7,9.2,17.3,2.7,1021.4,2652,34.05,74.4,1.2
19/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,16.1,13.6,20.0,2.6,1016.6,2652,34.05,74.4,2.4
24/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,12.5,9.2,15.5,2.7,1022.6,2652,34.05,74.4,9.3
29/09/2021,September,Monsoon,Gulmarg,JK,Baramulla,14.3,11.7,18.4,2.9,1021.1,2652,34.05,74.4,0.7
04/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,10.2,6.9,14.7,2.6,1017.9,2652,34.05,74.4,0.6
